paper,page,line_idx,text
paper2,14,69,"biphasic and polyphasic ultra-high frequency protocols. Biology, Engineering experiences in free air. ACM Transactions on Graphics. 32, 4 (Jul. 2013), 1–10."
paper2,15,1,"[81] Suzuki, S., Aoyama, K., Kojima, R., Izumi, K., Fushimi, T. and Ochiai, Y. 2023. [91] Thielscher, A. and Kammer, T. 2004. Electric field properties of two commercial"
paper2,15,2,ExudedVestibule: Enhancing Mid-air Haptics through Galvanic Vestibular Stim- figure-8 coils in TMS: calculation of focality and efficiency. Clinical Neurophysi-
paper2,15,5,"tional electrical and magnetic stimulation for propelled cycling of paretic pa- [92] Triggs, W.J., Calvanio, R. and Levine, M. 1997. Transcranial magnetic stimulation"
paper2,15,6,"tients. Archives of Physical Medicine and Rehabilitation. 90, 4 (Apr. 2009), 564–570. reveals a hemispheric asymmetry correlate of intermanual differences in motor"
paper2,15,15,"USA, May 2011), 543–552. Transactions on Biomedical Engineering. 66, 10 (Oct. 2019), 2761–2767. DOI:https:"
paper2,15,17,"Interactive Systems to Directly Manipulate Head Orientation. CHI Conference on [95] Wassermann, E.M., McShane, L.M., Hallett, M. and Cohen, L.G. 1992. Nonin-"
paper2,15,26,"[88] Tang, A.D., Lowe, A.S., Garrett, A.R., Woodward, R., Bennett, W., Canty, A.J., human body using vibrators. Transactions of the Virtual Reality Society of Japan."
paper2,15,27,"Garry, M.I., Hinder, M.R., Summers, J.J., Gersner, R., Rotenberg, A., Thickbroom, 3, 3 (1998), 141–147. DOI:https://doi.org/10.18974/tvrsj.3.3_141."
paper2,15,30,"[89] Teng, S.-Y., Li, P., Nith, R., Fonseca, J. and Lopes, P. 2021. Touch&Fold: A Foldable and ion channel amplification. Nature Communications. 13, 1 (Jan. 2022), 493."
paper2,15,32,"CHI Conference on Human Factors in Computing Systems (New York, NY, USA, 6 [99] Yoshimoto, S., Kuroda, Y., Imura, M. and Oshiro, O. 2011. Development of a"
paper2,15,38,"Neuroscience, Devices, Modeling, and Applications (Berlin, Heidelberg, 2014),"
